Category: All categories

Month,manhattan: (United States),brooklyn: (United States)
2004-01,50,43
2004-02,49,44
2004-03,55,48
2004-04,50,48
2004-05,52,49
2004-06,55,53
2004-07,55,52
2004-08,55,48
2004-09,52,47
2004-10,50,46
2004-11,51,47
2004-12,50,46
2005-01,49,47
2005-02,47,47
2005-03,48,50
2005-04,50,55
2005-05,54,55
2005-06,55,61
2005-07,53,55
2005-08,56,55
2005-09,54,53
2005-10,51,52
2005-11,48,51
2005-12,50,51
2006-01,48,53
2006-02,47,48
2006-03,47,54
2006-04,48,57
2006-05,48,56
2006-06,49,59
2006-07,52,63
2006-08,51,58
2006-09,46,55
2006-10,49,56
2006-11,47,53
2006-12,43,53
2007-01,42,58
2007-02,43,55
2007-03,45,54
2007-04,45,56
2007-05,47,60
2007-06,48,64
2007-07,48,65
2007-08,47,64
2007-09,46,60
2007-10,46,55
2007-11,44,53
2007-12,44,57
2008-01,44,58
2008-02,43,57
2008-03,45,64
2008-04,42,63
2008-05,44,67
2008-06,52,72
2008-07,46,68
2008-08,45,68
2008-09,42,60
2008-10,42,60
2008-11,40,60
2008-12,41,66
2009-01,41,71
2009-02,40,67
2009-03,46,73
2009-04,43,69
2009-05,43,68
2009-06,44,72
2009-07,42,72
2009-08,44,73
2009-09,42,69
2009-10,41,65
2009-11,42,64
2009-12,40,65
2010-01,39,70
2010-02,37,73
2010-03,37,69
2010-04,40,69
2010-05,42,76
2010-06,41,80
2010-07,42,83
2010-08,41,75
2010-09,40,74
2010-10,40,69
2010-11,37,63
2010-12,39,68
2011-01,38,77
2011-02,38,95
2011-03,41,79
2011-04,41,80
2011-05,42,79
2011-06,44,93
2011-07,46,93
2011-08,44,82
2011-09,42,84
2011-10,40,76
2011-11,40,72
2011-12,42,73
2012-01,39,76
2012-02,41,76
2012-03,40,76
2012-04,41,87
2012-05,41,88
2012-06,40,91
2012-07,42,94
2012-08,41,91
2012-09,42,93
2012-10,44,90
2012-11,40,90
2012-12,38,87
2013-01,38,84
2013-02,35,77
2013-03,37,82
2013-04,38,84
2013-05,39,90
2013-06,42,95
2013-07,40,90
2013-08,42,90
2013-09,39,85
2013-10,37,85
2013-11,36,85
2013-12,36,84
2014-01,36,87
2014-02,35,87
2014-03,40,87
2014-04,37,95
2014-05,40,97
2014-06,42,93
2014-07,44,92
2014-08,42,89
2014-09,38,81
2014-10,40,79
2014-11,36,77
2014-12,37,84
2015-01,35,80
2015-02,34,76
2015-03,38,86
2015-04,36,86
2015-05,39,89
2015-06,40,88
2015-07,41,88
2015-08,40,89
2015-09,38,82
2015-10,36,81
2015-11,35,82
2015-12,36,86
2016-01,35,86
2016-02,36,86
2016-03,38,83
2016-04,36,87
2016-05,40,91
2016-06,40,91
2016-07,40,86
2016-08,37,81
2016-09,41,78
2016-10,36,80
2016-11,36,74
2016-12,36,77
2017-01,34,78
2017-02,35,78
2017-03,35,78
2017-04,36,83
2017-05,38,86
2017-06,40,90
2017-07,40,90
2017-08,38,86
2017-09,35,77
2017-10,41,81
2017-11,39,80
2017-12,35,78
2018-01,34,76
2018-02,33,73
2018-03,35,81
2018-04,35,81
2018-05,36,89
2018-06,36,89
2018-07,38,90
2018-08,36,86
2018-09,34,74
2018-10,33,78
2018-11,33,74
2018-12,35,78
2019-01,32,76
2019-02,32,77
2019-03,33,80
2019-04,33,82
2019-05,34,80
2019-06,38,86
2019-07,38,82
2019-08,36,82
2019-09,35,77
2019-10,34,82
2019-11,32,81
2019-12,35,71
2020-01,30,76
2020-02,29,75
2020-03,27,65
2020-04,21,53
2020-05,22,54
2020-06,26,62
2020-07,26,71
2020-08,26,65
2020-09,24,61
2020-10,24,56
2020-11,22,55
2020-12,23,55
2021-01,22,60
2021-02,23,60
2021-03,25,63
2021-04,27,72
2021-05,29,74
2021-06,30,81
2021-07,29,69
2021-08,29,71
2021-09,28,69
2021-10,28,64
2021-11,30,67
2021-12,29,68
2022-01,28,68
2022-02,30,73
2022-03,32,74
2022-04,33,100
2022-05,32,70
2022-06,32,73
2022-07,33,74
2022-08,32,72
2022-09,32,71
2022-10,30,68
2022-11,28,65
2022-12,30,64
2023-01,29,67
2023-02,28,68
2023-03,31,66
2023-04,32,68
2023-05,30,68
2023-06,33,70
2023-07,35,71
2023-08,32,67
2023-09,29,67
2023-10,30,69
2023-11,30,67
2023-12,30,69
2024-01,28,66
2024-02,29,68
2024-03,29,74
2024-04,31,68
2024-05,31,69
2024-06,33,73
2024-07,32,67
2024-08,30,66
2024-09,29,68
2024-10,29,63
2024-11,29,59
