Age,Education,MaritalStatus,Occupation,Income,Hours_spent_daily_online,Follow_favorite_brands_online,Interaction_with_brands_over_internet,ATT_FB_Ads1,ATT_FB_Ads2,Monthly_expenditure,OBB_1
30-40,Post Graduate,Married,@C:JDdlmhuk821fwedrLcUwWuvqg35u38kJHDJ/hMWSL1TMOoZ4q/NOeg==,10-15 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I do not interact at all,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
30-40,PhD,Married,@C:fstMz9S3vJ7bzOp+xeJ/RKNxfcrDE1K7w9aNZ3+mt22n/a4hzJBQ,Upto 5 Lakhs,Less than an hour,"Yes, but it does not influence my online buying",I do not interact at all,Strongly Agree,Agree,"Less than Rs. 1,000",Strongly Agree
20-30,Graduate,Un married,@C:tzteSwZyO2cdD0Le4mebhezQ5NtRyTE86qQxHO7WUbc9dFY=,5-10 Lakhs,One to Two hours,No,I only follow their channel/ feeds,Strongly Agree,Agree,"Rs 3,000-5,000",Strongly Agree
30-40,Graduate,Married,@C:xghD6K/aNGJ9xM1w1GyzMKAjkT8U7chociKCaN8oB6AU7T6kUt4=,Upto 5 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Less than Rs. 1,000",Disagree
30-40,Post Graduate,Married,@C:nrwuz5v3ULdknZTWMEI2UHDNV2l2+HLtz8z288lJWUUF8J0=,5-10 Lakhs,Three to four hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Strongly Agree
50-60,Post Graduate,Married,@C:gmYeLpNkHZi/PGQ9wSPVyge35+pgvawcsovZTVcICw87l0XIQFMh,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Less than Rs. 1,000",Strongly Disagree
30-40,Post Graduate,Un married,@C:uwpWlu+LXOZpL1rk45SaOdTDrYp8To/RONoehUv7d6h5V0ZlFncJntk=,10-15 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
20-30,Post Graduate,Married,@C:yKVIbwyqbjVA7GkawlmGDLzjef1lywKo+tmSn9pagqxl3SYOC9cs,10-15 Lakhs,More than five hours,"Yes, but it does not influence my online buying",I ask questions about their products on community pages,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Disagree
20-30,Post Graduate,Married,@C:cspoU4iMbBgrLfoUKZs/FolNVRS9EroWOXIS3CcRcHXx6ef8fRY=,Upto 5 Lakhs,One to Two hours,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
30-40,Post Graduate,Married,@C:jm6zP3wh9yHuQ530pWGbVzmZMsD5gYlHdo6tZ3r/XTcrhkU4WcmH,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Strongly Agree,"Rs. 1,000-3,000",Strongly Agree
